id,loinc_num,long_common_name,component,system,property,click_Aida,click_Cesar,click_Gabriel,sum_clicks,id,clicks_component_avarage,clicks_component_count
35,882-1,ABO & Rh group [Type] in Blood,ABO+Rh group,Bld,Type,,,,0,35,,
36,1250-0,Major crossmatch [interpretation],Major crossmatch,Ser/Plas,Imp,,,,0,36,,
37,883-9,ABO group [Type] in Blood,ABO group,Bld,Type,,,,0,37,,
38,2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum,Cobalamins,Ser,MCnc,,,,0,38,,
39,31100-1,Hematocrit [Volume Fraction] of Blood by Impedance,Hematocrit,Bld,VFr,,,,0,39,,
40,6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Alkaline phosphatase,Ser/Plas,CCnc,,,,0,40,,
41,2069-3,Chloride [Moles/volume] in Blood,Chloride,Bld,SCnc,,,,0,41,,
42,3082-5,Tyrosine aminotransferase [Mass/volume] in Plasma,Tyrosine aminotransferase,Plas,MCnc,,,,0,42,,
43,30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,C reactive protein,Ser/Plas,MCnc,,,,0,43,,
44,33870-7,Bilirubin.total [Presence] in Unspecified specimen,Bilirubin,XXX,PrThr,,,,0,44,,
45,20442-0,Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification,Hepatitis B virus DNA,Ser,NCnc,,,,0,45,,
46,2111-3,Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma,Choriogonadotropin.beta subunit,Ser/Plas,SCnc,,,,0,46,,
47,14578-9,ABO group [Type] in Blood from Blood product unit,ABO group,Bld^BPU,Type,,,,0,47,,
48,18955-5,Nitrofurantoin [Susceptibility],Nitrofurantoin,Isolate,Susc,,,,0,48,,
49,2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Carcinoembryonic Ag,Ser/Plas,MCnc,,,,0,49,,
50,933-2,Blood product type,Blood product type,^BPU,Type,1,,,1,50,,
51,19000-9,Vancomycin [Susceptibility],Vancomycin,Isolate,Susc,,,,0,51,,
52,26478-8,Lymphocytes/100 leukocytes in Blood,Lymphocytes/100 leukocytes,Bld,NFr,,,,0,52,,
53,19080-1,Choriogonadotropin [Units/volume] in Serum or Plasma,Choriogonadotropin,Ser/Plas,ACnc,,,,0,53,,
54,1995-0,Calcium.ionized [Moles/volume] in Serum or Plasma,Calcium.ionized,Ser/Plas,SCnc,,,,0,54,,
55,35184-1,Fasting glucose [Mass or Moles/volume] in Serum or Plasma,Glucose^post CFst,Ser/Plas,MSCnc,,1,1,2,55,,
56,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Cholesterol.in HDL,Ser/Plas,MCnc,,,,0,56,,
57,1759-0,Albumin/Globulin [Mass ratio] in Serum or Plasma,Albumin/Globulin,Ser/Plas,MCrto,,,,0,57,,
58,2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Carbon dioxide,Ser/Plas,SCnc,,,,0,58,,
59,35192-4,Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma,Bilirubin.non-glucuronidated,Ser/Plas,MSCnc,,,,0,59,,
60,20629-2,Levofloxacin [Susceptibility],Levofloxacin,Isolate,Susc,,,,0,60,,
61,17861-6,Calcium [Mass/volume] in Serum or Plasma,Calcium,Ser/Plas,MCnc,,,,0,61,,
62,54439-5,Calcium bilirubinate/Total in Stone,Calcium bilirubinate/Total,Calculus,MFr,,,,0,62,,
63,18878-9,Cefazolin [Susceptibility],Cefazolin,Isolate,Susc,,,,0,63,,
64,18928-2,Gentamicin [Susceptibility],Gentamicin,Isolate,Susc,,,,0,64,,
65,29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,Calcium^^corrected for albumin,Ser/Plas,SCnc,,,,0,65,,
66,23658-8,glucose in blood,Antibiotic XXX,Isolate,Susc,,,,0,66,,
